schema_version,campaign_id,stage_mode,attempt_id,block_id,open_sample_seq,close_sample_seq,abs_b_deg,abs_c_deg,closure_dx_mm,closure_dy_mm,closure_dz_mm,closure_norm_mm,limit_mm,pass
1.0,2026082404.000000,29.000000,5.000000,100.000000,1.000000,9.000000,0.000000,0.000000,-0.001000,-0.004490,0.000672,0.004649,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,905.000000,9.000000,72.000000,0.000000,0.000000,-0.006915,0.011666,-0.002000,0.013708,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,911.000000,1.000000,93.000000,0.000000,0.000000,0.000361,0.002553,0.000009,0.002579,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,906.000000,72.000000,93.000000,0.000000,0.000000,0.008276,-0.004622,0.001337,0.009573,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,912.000000,2.000000,94.000000,0.000000,45.000000,-0.001412,-0.000951,-0.000830,0.001894,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,913.000000,3.000000,95.000000,0.000000,90.000000,0.001119,0.019687,-0.003330,0.019998,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,914.000000,4.000000,96.000000,0.000000,135.000000,0.001456,-0.007101,-0.002498,0.007667,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,915.000000,5.000000,97.000000,0.000000,180.000000,-0.010563,0.000818,0.000002,0.010595,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,916.000000,6.000000,98.000000,0.000000,225.000000,0.004090,0.008384,-0.003331,0.009905,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,917.000000,7.000000,99.000000,0.000000,270.000000,-0.003287,0.007959,-0.005833,0.010401,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,918.000000,8.000000,100.000000,0.000000,315.000000,-0.006199,0.008583,-0.004167,0.011377,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,919.000000,9.000000,101.000000,0.000000,0.000000,-0.012047,0.014002,-0.001666,0.018546,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,200.000000,93.000000,101.000000,0.000000,0.000000,-0.013408,0.006958,-0.001003,0.015139,0.050,1.000000
1.0,2026082404.000000,29.000000,5.000000,900.000000,1.000000,101.000000,0.000000,0.000000,-0.013047,0.009512,-0.000995,0.016177,0.050,1.000000
